2.45266,2.6202,2.80921,3.0283,3.28742,3.59738,3.97381,4.44093,5.0363,5.82033,6.89883,8.47165,10.9854,15.6297,27.1135,102.411,57.6083,22.4865,13.9743,10.1423,7.96321,6.55714,5.57666,4.85333,4.30011,3.86097,3.50499,3.21144,2.96443,2.75606,2.57155,2.41539,2.27819,2.15697,2.04913,1.95027,1.86843,1.78755,1.71681,1.65082,1.59181,1.53758,1.48903,1.44255,1.39934,1.36147,1.32391,1.29055,1.25927,1.23093,1.20394,1.17815,1.15693,1.13479,1.11471,1.09492,1.07738,1.06257,1.0458,1.03193,1.01718,1.00612,0.991866,0.984423,0.966752,0.962654,0.954669,0.947382,0.9414,0.936438,0.929851,0.924823,0.918568,0.915305,0.913087,0.909562,0.907873,0.906088,0.906258,0.904272,0.905233,0.909532,0.90436,0.908363,0.911378,0.91221,0.916528,0.920426,0.925213,0.931424,0.93619,0.943246,0.947381,0.957584,0.966364,0.976211,0.985655,0.995118,1.00814,1.02066,1.03417,1.05006,1.06507,1.08192,1.10034,1.11922,1.14059,1.16517,1.1842,1.21138,1.23915,1.26849,1.29997,1.33453,1.37126,1.41073,1.45555,1.50175,1.55208,1.60855,1.67033,1.73421,1.80834,1.88899,1.9778,2.0786,2.18979,2.31704
2.48461,2.65182,2.84206,3.06453,3.32625,3.63915,4.02009,4.49408,5.09646,5.8895,6.97986,8.57216,11.1157,15.816,27.4359,103.629,58.2932,22.7543,14.1405,10.2627,8.05791,6.63657,5.64363,4.9114,4.3508,3.90729,3.54778,3.24946,3.00088,2.78736,2.60191,2.44408,2.30516,2.18142,2.07192,1.97435,1.88824,1.80761,1.73594,1.67001,1.61096,1.55529,1.50547,1.45696,1.41657,1.37699,1.33938,1.30711,1.27478,1.24509,1.21799,1.1926,1.16993,1.14767,1.12691,1.10796,1.09008,1.07391,1.05711,1.04327,1.02783,1.01589,1.00742,0.995716,0.981735,0.975264,0.967561,0.95921,0.952511,0.945749,0.939819,0.935053,0.930292,0.927537,0.923291,0.92174,0.919178,0.917499,0.916589,0.915621,0.916019,0.918863,0.915226,0.918941,0.922438,0.924261,0.927615,0.931944,0.937064,0.941202,0.947673,0.955118,0.962145,0.968347,0.977512,0.987418,0.998292,1.00696,1.02199,1.03292,1.04921,1.06231,1.07856,1.09512,1.11365,1.13326,1.15339,1.17603,1.19953,1.22629,1.25505,1.28395,1.31505,1.34947,1.3884,1.42833,1.47343,1.51934,1.57133,1.62687,1.68911,1.75435,1.82898,1.91109,2.00043,2.10346,2.21648,2.34431
2.51537,2.68917,2.87995,3.10525,3.3704,3.6862,4.07431,4.55261,5.16257,5.96711,7.07242,8.6852,11.2614,16.025,27.796,104.99,59.0579,23.0523,14.3265,10.3971,8.1636,6.72323,5.71722,4.9772,4.40782,3.95741,3.59185,3.2912,3.03684,2.82553,2.63702,2.47714,2.33457,2.20986,2.09853,2.00082,1.91102,1.83195,1.75866,1.69246,1.63211,1.5768,1.52481,1.47807,1.43567,1.39531,1.3566,1.3244,1.29223,1.26151,1.2344,1.20748,1.18481,1.16258,1.14177,1.12223,1.10467,1.08716,1.07055,1.05677,1.04209,1.02855,1.0219,1.00772,0.997983,0.988064,0.979667,0.971747,0.965496,0.957326,0.953493,0.946629,0.944622,0.939868,0.936148,0.933727,0.931552,0.928564,0.928676,0.928293,0.928425,0.929934,0.928121,0.932175,0.933795,0.936286,0.940357,0.94484,0.949009,0.955045,0.96165,0.96775,0.97465,0.980358,0.991374,1.00056,1.01128,1.02325,1.03269,1.04597,1.06035,1.07603,1.09137,1.10951,1.12741,1.14752,1.16909,1.19164,1.21686,1.24273,1.2715,1.29992,1.33281,1.36703,1.4055,1.44675,1.49185,1.54007,1.59148,1.64754,1.70926,1.77867,1.8525,1.9365,2.02737,2.13118,2.24451,2.37561
2.54676,2.71966,2.91285,3.14058,3.4098,3.72902,4.12036,4.60476,5.22173,6.03542,7.15284,8.78516,11.3907,16.2087,28.1157,106.199,59.7379,23.3175,14.4924,10.5172,8.2575,6.80068,5.78334,5.03411,4.45882,4.00424,3.63339,3.33013,3.07378,2.85667,2.66806,2.50699,2.36229,2.23556,2.12404,2.02396,1.93534,1.85162,1.77837,1.71107,1.65004,1.59466,1.54223,1.4948,1.4516,1.41155,1.37273,1.34008,1.30745,1.27632,1.24916,1.22115,1.19841,1.17716,1.15361,1.13464,1.11663,1.09941,1.08312,1.06891,1.05437,1.0416,1.03055,1.01911,1.00688,1.00315,0.992614,0.983339,0.9766,0.968659,0.964534,0.959166,0.955748,0.950362,0.946911,0.943461,0.942213,0.93999,0.939074,0.93874,0.939274,0.940596,0.939333,0.942439,0.943748,0.94722,0.951391,0.955535,0.959505,0.964965,0.971887,0.979644,0.985364,0.994478,1.00264,1.01311,1.02344,1.0377,1.04403,1.05883,1.07389,1.08887,1.10478,1.12196,1.14135,1.16132,1.18276,1.20658,1.22699,1.2563,1.28557,1.31468,1.34821,1.38248,1.42133,1.46324,1.50677,1.55762,1.60953,1.66716,1.72945,1.79873,1.87455,1.95857,2.05177,2.15606,2.27099,2.40399
2.57903,2.75545,2.94975,3.18065,3.45215,3.7781,4.17279,4.66495,5.29122,6.11164,7.24333,8.89753,11.5357,16.4143,28.4741,107.551,60.4985,23.6149,14.6764,10.6519,8.36257,6.88706,5.8562,5.09732,4.51546,4.05426,3.67976,3.37175,3.11323,2.8933,2.70277,2.5408,2.39278,2.26493,2.15251,2.04735,1.95801,1.87621,1.80141,1.73321,1.67131,1.61498,1.56319,1.51396,1.47009,1.42892,1.39092,1.35709,1.32325,1.29281,1.26367,1.23884,1.21371,1.19103,1.16964,1.14993,1.13133,1.11524,1.09664,1.08216,1.06823,1.05723,1.04229,1.03134,1.01924,1.0198,1.00534,0.99628,0.988722,0.982706,0.976146,0.969891,0.966852,0.963245,0.958883,0.956121,0.953909,0.951811,0.950784,0.951425,0.950791,0.952641,0.951936,0.953631,0.95605,0.958955,0.962626,0.967225,0.972706,0.977189,0.983395,0.990261,0.998151,1.00407,1.01534,1.02557,1.03606,1.04993,1.0585,1.0717,1.08589,1.10114,1.1183,1.13605,1.15448,1.17541,1.19727,1.2202,1.24614,1.27296,1.30201,1.33215,1.36569,1.40105,1.43951,1.48172,1.52705,1.57744,1.62941,1.68872,1.75256,1.82048,1.8995,1.98249,2.07754,2.1822,2.30031,2.43382
2.61313,2.78977,2.98844,3.22139,3.49648,3.82595,4.22654,4.7238,5.35653,6.19207,7.33815,9.01246,11.6842,16.6253,28.84,108.934,61.2776,23.9188,14.8652,10.7893,8.46997,6.97631,5.93171,5.16388,4.57328,4.10525,3.72798,3.41547,3.15311,2.93018,2.73701,2.57272,2.423,2.29336,2.17942,2.07421,1.9842,1.90201,1.82515,1.75522,1.69293,1.63437,1.58257,1.534,1.48829,1.44782,1.40902,1.37371,1.33997,1.31013,1.27929,1.25171,1.22993,1.207,1.18429,1.16426,1.14516,1.12643,1.11264,1.09744,1.08277,1.06987,1.05642,1.04422,1.03386,1.03353,1.01788,1.0093,1.00187,0.995226,0.988514,0.984082,0.97922,0.973794,0.970599,0.967685,0.966232,0.964023,0.962761,0.963685,0.961447,0.964882,0.965643,0.965859,0.968555,0.9714,0.974883,0.980639,0.984145,0.990152,0.997948,1.00323,1.01153,1.01622,1.02903,1.03831,1.04896,1.05872,1.07282,1.0868,1.10116,1.11699,1.13292,1.15154,1.17003,1.19148,1.21363,1.2382,1.26093,1.28824,1.31694,1.34914,1.38241,1.41922,1.45856,1.502,1.54682,1.5971,1.65073,1.71026,1.7759,1.84518,1.92274,2.00975,2.10363,2.20884,2.32954,2.46338
2.6468,2.82709,3.02828,3.26473,3.54255,3.87461,4.28143,4.78484,5.42615,6.27286,7.43313,9.12977,11.8363,16.8424,29.2143,110.349,62.0735,24.229,15.0577,10.929,8.58014,7.06688,6.00944,5.23075,4.63232,4.15969,3.77719,3.45999,3.19343,2.96664,2.77383,2.60486,2.45541,2.32323,2.20734,2.10363,2.01005,1.92479,1.84823,1.77864,1.71538,1.65643,1.60395,1.55318,1.50799,1.46634,1.42769,1.39135,1.35801,1.32657,1.29606,1.26968,1.24534,1.2224,1.19932,1.18013,1.16042,1.14241,1.12547,1.11016,1.09586,1.07974,1.0731,1.06049,1.04869,1.04145,1.03196,1.02174,1.01474,1.00793,1.00139,0.996547,0.991055,0.987195,0.983653,0.980676,0.97946,0.976669,0.975586,0.975603,0.975182,0.977011,0.977426,0.978268,0.981301,0.984307,0.987135,0.993675,0.998034,1.00245,1.00855,1.01679,1.02499,1.03139,1.04043,1.05057,1.06244,1.07323,1.08703,1.10187,1.11469,1.13061,1.14906,1.16589,1.18571,1.2054,1.22872,1.25278,1.27796,1.30619,1.33488,1.36693,1.4005,1.43698,1.47761,1.52062,1.56842,1.61595,1.67384,1.73235,1.79721,1.86772,1.94664,2.03614,2.13079,2.23804,2.35952,2.49525
2.68481,2.87624,3.06356,3.30395,3.58778,3.92463,4.33733,4.84771,5.49804,6.35205,7.52887,9.24795,11.9894,17.0616,29.5949,111.785,62.8804,24.5446,15.2546,11.0712,8.69225,7.15809,6.08772,5.29906,4.69338,4.2144,3.82459,3.50399,3.23463,3.00577,2.80988,2.6375,2.48691,2.35387,2.2362,2.13092,2.0354,1.94898,1.87158,1.80208,1.73659,1.67885,1.62439,1.573,1.52683,1.48544,1.4455,1.40872,1.37572,1.34359,1.31427,1.28664,1.2614,1.23713,1.2157,1.19545,1.17595,1.15782,1.13724,1.12401,1.11024,1.09396,1.08827,1.07451,1.06289,1.05417,1.04459,1.03431,1.02815,1.02069,1.0145,1.00856,1.00342,1.00293,0.996238,0.993672,0.99214,0.988883,0.988598,0.988655,0.988976,0.99013,0.989012,0.991562,0.993891,0.997138,1.00068,1.00566,1.0118,1.01767,1.02343,1.02948,1.03771,1.0448,1.05516,1.06526,1.07666,1.09268,1.1005,1.11439,1.12887,1.14563,1.16229,1.18232,1.20043,1.22179,1.24478,1.26905,1.29512,1.32365,1.35312,1.38521,1.42041,1.45496,1.49661,1.54132,1.59131,1.63765,1.69552,1.75451,1.82008,1.89283,1.97233,2.06269,2.16025,2.26846,2.39163,2.52929
2.71309,2.88944,3.12261,3.35404,3.63867,3.98035,4.3965,4.91297,5.57056,6.4379,7.63001,9.37044,12.1486,17.2864,29.985,113.257,63.7087,24.8659,15.4549,11.2151,8.80571,7.252,6.16703,5.36756,4.75591,4.26936,3.87462,3.54948,3.27776,3.04417,2.84655,2.67151,2.52012,2.38503,2.26391,2.15892,2.06234,1.97651,1.89609,1.82497,1.75861,1.70002,1.64412,1.59556,1.54813,1.50546,1.46452,1.42642,1.39427,1.36126,1.33361,1.29949,1.27845,1.25361,1.23189,1.20996,1.19127,1.17273,1.15576,1.13969,1.12417,1.11176,1.09764,1.08546,1.07409,1.06139,1.06364,1.04923,1.04174,1.03483,1.02743,1.02206,1.01705,1.01432,1.00934,1.00563,1.00447,1.0024,1.00022,1.00049,1.0001,1.00422,1.00292,1.00547,1.00669,1.01086,1.01388,1.01765,1.02398,1.02945,1.03523,1.04339,1.05196,1.05695,1.06994,1.08045,1.09158,1.10574,1.11368,1.1288,1.14347,1.1585,1.17795,1.19661,1.21725,1.23778,1.26021,1.28702,1.30922,1.33848,1.36982,1.40184,1.43766,1.47327,1.51507,1.55793,1.60443,1.66259,1.71653,1.77726,1.84409,1.91759,1.99847,2.08893,2.18691,2.29688,2.41956,2.55832
2.75361,2.94063,3.15288,3.3952,3.68515,4.03229,4.45367,4.9781,5.64496,6.52369,7.73204,9.49639,12.313,17.519,30.3904,114.789,64.57,25.2034,15.6637,11.3676,8.92545,7.34933,6.25147,5.43942,4.81719,4.32641,3.92898,3.59852,3.32292,3.08644,2.88476,2.70786,2.55507,2.41814,2.29569,2.18805,2.0894,2.00245,1.92275,1.85045,1.78399,1.723,1.66759,1.61649,1.5687,1.52456,1.48444,1.4471,1.41277,1.3796,1.35047,1.32105,1.29459,1.27012,1.24709,1.2271,1.2073,1.189,1.17189,1.15497,1.14086,1.12557,1.11218,1.10088,1.08809,1.07669,1.08151,1.06477,1.05585,1.04968,1.04258,1.03651,1.03233,1.02839,1.02251,1.02097,1.0182,1.01783,1.01605,1.01447,1.01646,1.01543,1.01635,1.01827,1.01971,1.02453,1.02717,1.03114,1.0374,1.04243,1.04977,1.05767,1.06629,1.07193,1.08097,1.0929,1.1057,1.11572,1.13128,1.14592,1.15926,1.17737,1.19442,1.21213,1.23305,1.25432,1.2789,1.303,1.33001,1.35848,1.38987,1.42223,1.4577,1.49566,1.53773,1.58308,1.63496,1.68089,1.73865,1.80184,1.87003,1.94454,2.02761,2.11388,2.21586,2.32882,2.45324,2.59519
